,Unnamed: 0,Symbol,Security,GICS Sector,Market Cap,Average Volume,Return from 2017-2019 (Pre-Covid),Return from 2020-2022 (Post-Covid)
111,111,CINF,Cincinnati Financial,Financials,16123999999.999998,619433.0,36.952530180677385,-3.0581360281569583
112,112,CTAS,Cintas,Industrials,51621000000.0,397519.0,130.60924552521303,67.3534498005829
113,113,CSCO,Cisco,Information Technology,214470000000.0,19228729.0,56.70068764406778,-0.8739117179384666
114,114,C,Citigroup,Financials,90604000000.0,15516180.0,31.031644258987516,-43.55422302188207
115,115,CFG,Citizens Financial Group,Financials,15028000000.0,8375977.0,10.949511056079716,-3.3153296865128348
116,116,CLX,Clorox,Consumer Staples,19258000000.0,1192440.0,26.797715244064374,-8.508281807481005
117,117,CME,CME Group,Financials,68080000000.0,1459372.0,71.47037396379874,-16.38406685308626
118,118,CMS,CMS Energy,Utilities,18342000000.0,2173246.0,50.31220237757149,0.7476952213483226
119,119,KO,Coca-Cola Company (The),Consumer Staples,270027000000.0,13916453.0,33.180723994611256,14.985540421655068
120,120,CTSH,Cognizant,Information Technology,33905000000.0,3662551.0,8.826125093246283,-8.187513587830203
121,121,CL,Colgate-Palmolive,Consumer Staples,64034000000.00001,5320119.0,4.926789928640255,14.453813345367768
122,122,CMCSA,Comcast,Communication Services,178801000000.0,19213198.0,29.69714796207445,-22.905642085192888
123,123,CMA,Comerica,Financials,6682000000.0,4048419.0,3.5833471779596944,-7.152779897054036
124,124,CAG,Conagra Brands,Consumer Staples,15881000000.0,4263272.0,-14.278514982797837,12.992702957487454
125,125,COP,ConocoPhillips,Energy,136604000000.00002,5790314.0,27.134988190351745,80.759807301686
126,126,ED,Consolidated Edison,Utilities,33659000000.0,1877830.0,22.341292658684573,5.256757975055125
127,127,STZ,Constellation Brands,Consumer Staples,49406000000.0,1148259.0,21.5211933375563,21.99294547077344
128,128,CEG,Constellation Energy,Utilities,31338000000.0,2352716.0,,126.8684186433491
129,129,COO,CooperCompanies,Health Care,19190000000.0,294148.0,81.83630778979975,2.304935393507466
130,130,CPRT,Copart,Industrials,43514000000.0,2240056.0,226.9521324829629,33.238508475096914
131,131,GLW,Corning Inc.,Information Technology,28241000000.0,4752261.0,18.893445419771872,8.935882900762445
132,132,CTVA,Corteva,Materials,40058000000.0,3301920.0,-2.9915945870535716,97.18215307736727
133,133,CSGP,CoStar Group,Industrials,37046000000.0,2969312.0,215.2590606109298,27.727086991601475
134,134,COST,Costco,Consumer Staples,247215000000.0,1830393.0,83.71616922600846,55.24042841258571
135,135,CTRA,Coterra,Energy,20232000000.0,7164177.0,-25.4569212271639,40.239720621334044
136,136,CCI,Crown Castle,Real Estate,46765000000.0,2854416.0,62.063030253850286,-4.700345925202238
137,137,CSX,CSX,Industrials,65992999999.99999,12006996.0,100.11064204757118,27.62977403261315
138,138,CMI,Cummins,Industrials,36629000000.0,1005140.0,29.591322721236438,34.590594120543415
139,139,CVS,CVS Health,Health Care,96216000000.0,8883309.0,-7.388797119275678,24.835901589499745
140,140,DHI,D.R. Horton,Consumer Discretionary,43514000000.0,2921730.0,89.64273176936706,68.3474940609235
