Symbol,Name,price,dividend yield,price/earnings,book value,52 week low,52 week high,market capitalization,ebitda,price/sales,price/book,SEC Filings
IR,Ingersoll-Rand PLC,45.08,1.25,18.17,23.603,25.86,45.62,13.896B,1.902B,0.96,1.9,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IR&action=getcompany
TEG,Integrys Energy Group Inc.,58.4,4.63,22.93,38.451,45.75,61.92,4.550B,609.8M,1.06,1.53,http://www.sec.gov/cgi-bin/browse-edgar?CIK=TEG&action=getcompany
INTC,Intel Corp.,26.88,3.2,11.33,9.731,19.16,29.27,134.5B,23.768B,2.45,2.74,http://www.sec.gov/cgi-bin/browse-edgar?CIK=INTC&action=getcompany
ICE,IntercontinentalExchange Inc.,133.26,N/A,17.73,46.398,104,142.75,9.696B,950.9M,6.99,2.87,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ICE&action=getcompany
IBM,International Bus. Machines,199.29,1.61,14.41,17.914,157.13,210.69,227.7B,26.799B,2.14,11.08,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IBM&action=getcompany
IFF,International Flav/Frag,61.43,2.03,18.96,14.781,51.2,63.78,4.980B,540.0M,1.78,4.13,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IFF&action=getcompany
IGT,International Game Technology,11.37,2.16,15.62,3.798,10.92,18.17,3.328B,721.1M,1.58,2.93,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IGT&action=getcompany
IP,International Paper,32.89,2.41,13.21,15.442,21.55,36.5,14.217B,3.555B,0.53,2.12,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IP&action=getcompany
IPG,Interpublic Group,10.74,2.23,10.3,5.039,6.73,12.17,4.695B,849.6M,0.67,2.14,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IPG&action=getcompany
INTU,Intuit Inc.,59.03,1.02,24.73,9.632,39.87,62.33,17.335B,1.422B,4.18,6.14,http://www.sec.gov/cgi-bin/browse-edgar?CIK=INTU&action=getcompany
ISRG,Intuitive Surgical Inc.,498.58,N/A,35.35,79.759,320,594.89,19.910B,848.2M,10.06,6.24,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ISRG&action=getcompany
IVZ,Invesco Ltd.,23.7,2.3,15.11,18.341,14.52,26.94,10.552B,994.7M,2.6,1.29,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IVZ&action=getcompany
IRM,Iron Mountain Incorporated,33.69,3.06,37.15,7.222,27.1,34.77,5.783B,940.3M,1.9,4.61,http://www.sec.gov/cgi-bin/browse-edgar?CIK=IRM&action=getcompany
JBL,Jabil Circuit,22.67,1.07,11.3,9.8,13.94,27.4,4.658B,990.3M,0.27,2.3,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JBL&action=getcompany
JEC,Jacobs Engineering Group,39.34,N/A,13.92,28.203,30.74,48.17,5.104B,693.0M,0.48,1.41,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JEC&action=getcompany
JDSU,JDS Uniphase Corp.,10.9,N/A,N/A,4.637,8.47,15.17,2.524B,179.4M,1.45,2.32,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JDSU&action=getcompany
JNJ,Johnson & Johnson,68.64,3.4,21.7,21.972,60.83,69.75,189.2B,19.627B,2.9,3.11,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JNJ&action=getcompany
JCI,Johnson Controls,26.11,2.7,10.32,16.953,23.37,35.95,17.859B,2.894B,0.42,1.53,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JCI&action=getcompany
JOY,Joy Global Inc.,57.24,1.23,8.64,21.996,47.69,96,6.058B,1.224B,1.17,2.58,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JOY&action=getcompany
JPM,JPMorgan Chase & Co.,36.97,2.98,8.53,48.248,27.85,46.49,140.8B,0,1.6,0.77,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JPM&action=getcompany
JNPR,Juniper Networks,19.24,N/A,40.5,13.66,14.01,25.61,10.154B,617.7M,2.36,1.42,http://www.sec.gov/cgi-bin/browse-edgar?CIK=JNPR&action=getcompany
K,Kellogg Co.,50.98,3.39,15.45,6.008,46.33,55.3,18.251B,2.324B,1.37,8.45,http://www.sec.gov/cgi-bin/browse-edgar?CIK=K&action=getcompany
KEY,KeyCorp,8.34,1.68,9.5,10.433,5.59,8.82,7.885B,0,1.97,0.8,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KEY&action=getcompany
KMB,Kimberly-Clark,82.82,3.48,18.29,14.506,64.31,88.25,32.681B,3.994B,1.55,5.71,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KMB&action=getcompany
KIM,Kimco Realty,19.56,3.84,50.31,12.32,13.55,20.09,7.960B,558.7M,8.47,1.58,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KIM&action=getcompany
KMI,Kinder Morgan,34.64,3.57,281.97,16.89,23.51,40.25,29.167B,2.917B,3.59,2.12,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KMI&action=getcompany
KLAC,KLA-Tencor Corp.,53.12,2.73,11.95,19.861,33.2,55.43,8.868B,1.108B,2.79,2.67,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KLAC&action=getcompany
KSS,Kohl's Corp.,51,2.22,11.93,26.033,42.14,56.66,12.229B,2.876B,0.65,1.98,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KSS&action=getcompany
KFT,Kraft Foods Inc-A,40.92,2.82,20.43,20.398,31.88,41.5,72.715B,8.905B,1.34,2.01,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KFT&action=getcompany
KR,Kroger Co.,22.5,1.53,21.52,7.432,20.98,24.83,12.255B,3.911B,0.13,3.03,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KR&action=getcompany
LLL,L-3 Communications Holdings,70.39,2.7,7.79,70.347,58.3,74.79,6.796B,1.846B,0.45,1,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LLL&action=getcompany
LH,Laboratory Corp. of America Holding,88.5,N/A,15.1,27.472,74.57,95.3,8.487B,1.279B,1.51,3.22,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LH&action=getcompany
LRCX,Lam Research,35.54,N/A,26.34,38.298,33.24,45.48,4.762B,339.4M,1.79,0.93,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LRCX&action=getcompany
LM,Legg Mason,25.75,1.35,24.19,40.589,22.36,29.56,3.636B,445.3M,1.42,0.64,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LM&action=getcompany
LEG,Leggett & Platt,23.12,4.83,20.83,9.587,18.37,24.84,3.248B,400.3M,0.88,2.42,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LEG&action=getcompany
LEN,Lennar Corp.,31.2,0.51,12.47,16.787,12.14,31.9,5.907B,223.6M,1.74,1.88,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LEN&action=getcompany
LUK,Leucadia National Corp.,22.19,1.13,44.53,24.909,19.58,30.04,5.427B,758.9M,1.07,0.89,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LUK&action=getcompany
LXK,Lexmark Int'l Inc,19.9,4.09,6.12,20.205,16.1,38.34,1.407B,629.1M,0.35,0.97,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LXK&action=getcompany
LIFE,Life Technologies,47.59,N/A,19.42,26.334,35.3,50.84,8.479B,1.246B,2.19,1.79,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LIFE&action=getcompany
LLY,Lilly (Eli) & Co.,43.6,3.44,11.84,12.792,34.66,44.67,48.775B,6.880B,2.04,3.34,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LLY&action=getcompany
LTD,Limited Brands Inc.,49.29,1.82,18.86,-0.449,33.13,51.84,14.349B,1.847B,1.4,N/A,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LTD&action=getcompany
LNC,Lincoln National,22.94,1.25,28.71,50.276,13.75,27.54,6.471B,1.547B,0.61,0.46,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LNC&action=getcompany
LLTC,Linear Technology Corp.,33.13,2.97,19.42,3.144,26.16,34.5,7.762B,637.7M,6.11,10.5,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LLTC&action=getcompany
LMT,Lockheed Martin Corp.,91.03,4.14,10.53,6.84,68.07,92.24,29.330B,4.942B,0.61,13.24,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LMT&action=getcompany
L,Loews Corp.,40.51,0.62,18.79,49.308,32.9,41.8,16.026B,3.377B,1.15,0.82,http://www.sec.gov/cgi-bin/browse-edgar?CIK=L&action=getcompany
LO,Lorillard Inc.,123.8,4.62,15.18,-11.969,100.63,141.07,16.170B,2.042B,3.58,N/A,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LO&action=getcompany
LOW,Lowe's Cos.,26.77,2.16,17.72,12.808,18.28,32.29,31.501B,5.466B,0.62,2.1,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LOW&action=getcompany
LSI,LSI Corporation,7.7,N/A,27.96,2.064,4.75,9.2,4.340B,383.5M,1.84,3.71,http://www.sec.gov/cgi-bin/browse-edgar?CIK=LSI&action=getcompany
MTB,M&T Bank Corp.,86.66,3.23,15.62,69.181,66.4,88,10.975B,0,3.05,1.25,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MTB&action=getcompany
M,Macy's Inc.,38,1.57,12.48,14.602,22.66,42.17,15.700B,3.520B,0.59,2.61,http://www.sec.gov/cgi-bin/browse-edgar?CIK=M&action=getcompany
MRO,Marathon Oil Corp.,27.9,2.32,11.12,24.81,19.13,35.49,19.678B,8.178B,1.31,1.11,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MRO&action=getcompany
MPC,Marathon Petroleum,49.56,1.95,6.97,27.106,26.35,50.79,16.886B,4.736B,0.22,1.8,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MPC&action=getcompany
MAR,Marriott Int'l.,36.94,1.15,61.74,-3.483,25.49,40.45,11.923B,1.004B,4.06,N/A,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MAR&action=getcompany
MMC,Marsh & McLennan,34.02,2.63,18.41,11.352,25.29,34.68,18.584B,2.025B,1.58,2.98,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMC&action=getcompany
MAS,Masco Corp.,12.97,2.29,N/A,1.231,6.6,14.68,4.632B,541.0M,0.62,10.64,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MAS&action=getcompany
MA,Mastercard Inc.,426.03,0.21,25.53,50.161,293.01,466.98,53.168B,3.995B,7.46,8.49,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MA&action=getcompany
